company,ticker,exchange,date,analyst_name,question,label
Hormel Foods Corporation,HRL,NYSE,2024-12-04,Max Gumport,"Got it. But just any other drivers you would point to in terms of what helps you get there? I think if it's a net number, there's probably an even bigger halt I hadn't considered. So just any other key drivers you could point to.",
CSX Corporation,CSX,NASDAQ,2024-11-19,Daniel Imbro,"Got it. At the start of the quarter, you mentioned one of the disruptions was the strike. And while that was nice to be passed, it is kind of just pushed to January. So curious, I'm not sure if you have any update, but how you're hearing negotiations are going? Do you think there's any potential we avoid a disruption again in January, or do we just replay this playbook again to start 1Q, given what you see out there now?",
LSI Industries Inc.,LYTS,NASDAQ,2024-11-08,Amit Dayal,"Just last one from me, for this new refrigerant product, I'm wondering if there are other markets you could potentially enter outside of the core grocery segment you're targeting initially for this.",
"Crane NXT, Co.",CXT,NYSE,2024-11-09,Michael Halloran,Just to follow-up on Matt's question there one last time again. Does that include the acquisition like De La Rue that's not necessarily part of the run rate numbers yet when you talk about flat overall?,
"Pioneer Power Solutions, Inc.",PPSI,NASDAQ,2024-11-18,Sameer Joshi,"Yes, because in the Q, you have laid it out for corporate, for the divested business, and for the continuing business, yes.",
"RB Global, Inc.",RBA,NYSE,2024-11-08,John Gibson,Just to start off -- wondering about the modest bump to 2024 guidance. Is this function of improving margins and take rates that we've seen? Or are you starting to see some higher volumes from the recent cat events here in Q4?,
908 Devices Inc.,MASS,NASDAQ,2024-11-12,Puneet Souda,"Yeah. Hi, everyone. Thanks for the questions here. First one, I understand the challenges of the life sciences end market. We've been seeing that for the last year. But the magnitude of the guide down at this point, even after accounting for AvCat, I mean, it raises a question if there is any structural or competitive issues in the handheld market beyond the agencies that you're selling these products into. So just wanted to understand if the -- is it largely the pushing out of the budgets because of political uncertainty, which is obviously not lost on anyone but just wondering if it is that is the primary driver or if there is any structural competition that you're seeing in the market. And on the desktop side, how should we think about the recovery in first half ‘25? You pointed sequential improvement here. Should we assume that sequential improvement to continue into first half?",
Atmus Filtration Technologies Inc.,ATMU,NYSE,2024-11-08,Joe O'Dea,Got it. And do you find that the filtration sort of competitive landscape is such that Mexico is a common area of supply source?,
Ascent Industries Co.,ACNT,NASDAQ,2024-11-12,Unidentified Analyst,Okay. What do you anticipate happening first a sale of one or both the tubular businesses or a purchase of the chemical business?,
Sky Harbour Group Corporation,SKYH,NYSE,2024-11-13,Tal Keinan,Can you repeat that question? I don't think we got it.,
"Moderna, Inc.",MRNA,NASDAQ,2024-11-21,Michael Yee,"Right. So, do you -- appreciating that we want to prevent primary infection to the women because we don't want her to get infected, such that it passes to the baby, which has a one in 200 chance of getting infected, which would drive a birth effect or one in 1,000 death that the most people would be primarily taken in each year would be the women who are planning to get pregnant that year, generally speaking. And there's 3 million births per year in the U.S. on those numbers?",
"Cracker Barrel Old Country Store, Inc.",CBRL,NASDAQ,2024-12-04,Katherine Griffin,"Okay. That's helpful. And then I wanted to ask, I guess, a follow-up to an earlier question just about the different, I guess, tiers of remodel and then refreshes. As you're a few months into the strategic turnaround, I'm curious if there are initiatives that are resonating better than you had expected or maybe better than others. And has that changed at all the way that you're thinking about the timing of or how you're allocating the investments into the turnaround?",
"Nephros, Inc.",NEPH,NASDAQ,2024-11-09,Ralph Weil,Good afternoon to both of you. You've talked in the past about ASHRAE and that it is suggested in the regulations. Then you're talking about having more teeth in the regulations. Where do you stand? And what do you see regarding the ASHRAE regulations as it affects Nephros? And a second question you've talked a lot about the numbers and I know you've touched upon the newer areas that you're working on. Could you possibly just be a little more specific as to what you might be doing and where you stand with the newer areas at this point in time?,
"Maravai LifeSciences Holdings, Inc.",MRVI,NASDAQ,2024-11-09,Yuko Oku,"Okay. And then just do you expect any changes to government contracts, including the one with BARDA based on the recent election outcome?",
"MongoDB, Inc.",MDB,NASDAQ,2024-12-09,Brad Sills,"Great. Thank you so much, and congratulations, Michael, on your next move. I wanted to ask about new workloads here on vector search, stream processing, relational migrator. Is there any one of those three that's ramping faster than maybe you expected? Just a little bit of color on how those new workload types are ramping. Thank you.",
MP Materials Corp.,MP,NYSE,2024-12-13,Laurence Alexander,"And so let's tackle that, tease out two threads there. First, in terms of what this means for your balance sheet, and your CapEx. How you think about the CapEx for the balance of 2024, 2025, how you think about cash inflows versus what you need to spend, to scale up to get to your production targets?",
PVH Corp.,PVH,NYSE,2024-12-05,Ike Boruchow,"Hey, good morning, everyone. A couple of questions from me, mainly on the licensing impact for next year. Just at a high level, maybe, Stefan, to start, just how has that transition been working? Has the foundation been fully laid out to begin? Taking those categories in, is there any more cost? Just kind of curious there at a high level. And then maybe this is for Zac. Two follow-ups. Can you give context for how much revenue from that business should hit next year and then what is left over to hit the P&L in '26? And I'm sorry, the last question is, when you mentioned modest growth for next year in constant currency, I'm just curious, is that organically and with licenses or is that really just a function of the licenses benefiting? Thank you.",
"Pure Storage, Inc.",PSTG,NYSE,2024-12-03,Charles Giancarlo,"Tim, out of respect for some who have gotten back in line with their second question, we're going to maybe try to take one or two of your questions, not all three.",
"Puma Biotechnology, Inc.",PBYI,NASDAQ,2024-11-07,Unidentified Analyst,"Hi. Thank you for taking our question. So this is Jenny [ph] for Gina. So we have a question about ALISCA-Breast 1 cancers interim readout. So could you provide more color about the timeline? I mean, you mentioned, like, in a medical meeting, and then we wonder, like, how many number of patients data you would report. I think last quarter, it got the readout, it's like a fourth quarter of 2024, but why it is postponed to 2025? Also, like, what is the kind of the benchmark for this, like, activity? Thank you.",
"Advanced Micro Devices, Inc.",AMD,NASDAQ,2024-12-03,Q - Timothy Arcuri,"Can we first talk about CPU? You've been gaining share on the server side fairly consistently for years now, you're sharing cloud is in the 50% range, much lower in enterprise, but you're beginning to see some success in enterprise. So, can you talk about your roadmap and why you're winning on the CPU side? And if you can particularly talk about enterprise and what sort of, what you've done differently there to catalyze some recent wins there.",
"Innovative Industrial Properties, Inc.",IIPR,NYSE,2024-11-07,Tom Catherwood,"Got it. And then last one for me, if I can, Ben, sticking with you for the asset that you took back in North Adams, Massachusetts, I know it's early, but what is the outlook for backfilling that space? And is any incremental investment needed to get the building market ready?",
CXApp Inc.,CXAI,NASDAQ,2024-11-12,Khurram Sheikh,"Great question, Dennis. Yes, new management has really impacted growth at Sky. Joy coming on board has been a really breath of fresh air for me to help with in terms of the financial strategy, but also partnership with the Google Cloud Providers. We've had a lot of new talent come into the company since we went public, so there has been new talent. But I am super excited about also bringing newer talent on board as you grow the company across the board and we really are working together really well. So Joy, you want to add something to that?",
ProAssurance Corporation,PRA,NYSE,2024-11-08,Bob Farnam,"Yes. I didn’t mean to just blame Pennsylvania for it, but like you said, we’re trying to dig around – trying to figure out what’s going on. Great. Thanks, guys.",
"Autodesk, Inc.",ADSK,NASDAQ,2024-12-11,Unidentified Analyst,"Yeah, absolutely. Maybe the follow on for that for you, Simon, is, can you just maybe -- I mean, we started in the Americas, right? It's been a very phased approach geographically. We started in the Americas, then we've gone to Europe, I think relatively recently we started in Japan. You correct me there if I'm wrong, but I guess maybe how are those transitions going from your perspective? And should this transition be largely done from an income statement perspective by this time next year?",
Ceragon Networks Ltd.,CRNT,NASDAQ,2024-11-13,Robert Marson,"All right, thank you. And actually let me get one more in. What's the odds of you doing a small bolt-on, in the private network arena in 2025? Handicap that for me, buddy?",
NCR Atleos Corporation,NATL,NYSE,2024-11-13,Matt Summerville,"Yeah. Yeah, you did. Thank you, Paul. As I look at the network business, how should we be thinking about your go-forward cost of cash based on the rate curve and what we've seen from the Fed over the last few months? Thank you.",
ProAssurance Corporation,PRA,NYSE,2024-11-08,Maxwell Fritscher,"Hey, good morning. I’m on from Mark Hughes. You’d mentioned the improved renewal pricing in the workers’ comp. I’m not sure if you quantified that, but can you give a figure for that pricing?",
Zeta Global Holdings Corp.,ZETA,NYSE,2024-11-11,Jason Kreyer,"Okay. And then maybe just a follow-up for Chris. Appreciate the color on agencies and how that has impacted that EBITDA to free cash flow conversion. Do you think we're primarily - like do you think that's trough by now do you think we're through kind of the majority of the headwind there? Because it sounds like you've penetrated the big five agencies reasonably well. And as you go after that mid-market or independent agencies, probably less of that free cash flow conversion or less of that gets trapped in that conversion there?",
Loma Negra Compañía Industrial Argentina Sociedad Anónima,LOMA,NYSE,2024-11-09,Daniel Rojas,"Great. And if I may follow up. A lot of news has been published around the potential recovery of the mortgage market in Argentina. Can you give us some color on what you're seeing on the ground? How strong this recovery might be? Are banks jumping into the mortgage market? And are you starting to see permit activity, construction activity related to that? Or is it too early to tell?",
"Fortinet, Inc.",FTNT,NASDAQ,2024-11-19,Matt Dezort,"I guess, what sort of pricing and discounting behavior have you seen in the market in the second half of this year? And how do you think about financing vehicles given most of your competitors have shifted gears towards that, any new progressions on that front?",
"Heritage Insurance Holdings, Inc.",HRTG,NYSE,2024-11-09,Paul Newsome,"And then finally, also, are there any potential for unrelated claim management fees related to the hurricanes that have come forth in the fourth quarter?",
WD-40 Company,WDFC,NASDAQ,2024-07-11,Daniel Rizzo,"And that's going to be rolling off, I mean, as we spoke now on smaller systems than on Brazil, that's going to be that, let's assume it would be less than, correct?",
"UMH Properties, Inc.",UMH,NYSE,2024-11-07,Rich Anderson,"Thanks. Yes, thanks. Just a quick follow-up on same-store methodology. So let’s – I know your same-store is calculated at the community level, you’ve excluded some for various reasons in the same-store pool. But let’s say a community in a same-store pool has been expanded via your expansion site process. Are those new expansion units included in the pool such that it could weigh down the optics of growth initially before you start seeing units get – or sites getting cash paying? Or do you exclude the expansion component on the same-store calculation until a full year has passed?",
The Kroger Co.,KR,NYSE,2024-12-05,Michael Montani,"Yes. Good morning. Thanks for taking the question. I just wanted to ask first, did I miss the fuel CPG contribution for this quarter? Wondering if you could give some added color there and then just had a follow-up?",
TransDigm Group Incorporated,TDG,NYSE,2024-11-07,Scott Mikus,"Hi. This is Scott Mikus on for Rob Spingarn. Kevin, Mike, Sarah, if you end the year at four turns of net leverage to get back towards six turns by the end of the year, you need to deploy more than $7 billion of capital. Is that the right way to think about it? And is there any thoughts on what might be used for M&A versus share repos or special dividends over the next 12 months?",
ModivCare Inc.,MODV,NASDAQ,2024-11-09,Scott Fidel,"So basically, just to simplify it, we should think about NEMT ultimately exiting '25 at sort of 60% fee-for-service relating to the -- basically the managed care business and then around 40% full risk relating to the state business. Is that a fair assumption?",
Magic Software Enterprises Ltd.,MGIC,NASDAQ,2024-11-18,Kate Kronstein,"Hi, everyone. It's Kate Kronstein on for Maggie. Last quarter, you guys sounded pretty positive on the pipeline. So what can you tell us about how some of those large deals you've signed recently are progressing?",
Chatham Lodging Trust,CLDT,NYSE,2024-11-07,Jonathan Jenkins,"Okay, great. Very helpful. Thank you for all the color. That’s all for me.",
PagSeguro Digital Ltd.,PAGS,NYSE,2024-11-14,Renato Meloni,"Hello, guys. Hi, congrats on the results and thanks here for the question. So first, I wanted just to talk a bit about the initiatives you were mentioning to reduce your cost of deposits. I think it was very successful on the costs, but then we saw a decline here on checking accounts, a sequential decline. So I'm trying to understand the dynamics that you're seeing here. Are you going to be able to regrow balances here with the same level what we're seeing? And if you allow me for just a second question, that's more of a follow-up on interest rates. Last quarter, when you revised the guidance, you mentioned that your assumption was for SELIC at the end of the year was 10.5%. And then previously, you were saying that you can pull the levers and compensate for this. So I just wanted to make sure that you're still seeing a similar scenario despite of the increasing rates. Thank you.",
Arqit Quantum Inc.,ARQQ,NASDAQ,2024-12-05,Scott Buck,"Great. That's really helpful, Andy. I appreciate that. And then two quick modeling questions. You guys have done a really nice job bringing costs in. I'm curious as revenue starts to ramp here in 2025 and 2026, how quickly do you need to add back in some of those kind of infrastructure costs. Just trying to get a sense of what operating leverage could look like going forward?",
GSK plc,GSK,NYSE,2024-11-15,Seamus Fernandez,"But I'll -- we'll pay it elsewhere. But the dynamics around Part D redesign, you got out in front of that. You really kind of talked about it in the context of HIV. Any other influences or impacts on the business, year-over-year, next year, outside of HIV that we need to think about?",
"Shoals Technologies Group, Inc.",SHLS,NASDAQ,2024-11-12,Kashy Harrison,"Good morning, everyone, and thanks for taking my questions. So first one for me, on Slide, I think, 16, you talked about $445 million of backlog scheduled to ship within the next 12 months. What are some of the parameters that underpin that statement, just given the lower contracted backlog in Q3 and the delays that we've seen all throughout 2024? Just trying to understand the confidence in that $445 million.",
"Palo Alto Networks, Inc.",PANW,NASDAQ,2024-12-03,Roger Boyd,"Got you. I want to talk about the SIEM market and XSIAM. I think that's one of the bigger opportunities out there. If you look at all the vendors that are targeting next-gen SIEM, I think the commonality is some level of integrating SIEM more tightly with endpoint or in some cases, cloud security. How important do you think that is? And just what's your high-level view on how the next-gen SIEM market kind of plays out from here?",
"FTC Solar, Inc.",FTCI,NASDAQ,2024-11-12,Graham Price,"No problem. I was just asking in the past, you've discussed a breakeven revenue range of around $50 million to $60 million. We're just wondering if that's still holds, especially given the shift to 1P?",
Telefonaktiebolaget LM Ericsson (publ),ERIC,NASDAQ,2024-07-12,Sandeep Deshpande,"Thank you, Daniel. My question is on your IPR deals in the first two quarters, you've had two deals in Q1 and one in Q2 as well. What has been the one-offs associated with these deals, and what is the ongoing run rate associated with the IPR revenues? And I have a quick follow-up after that.",
"Bit Digital, Inc.",BTBT,NASDAQ,2024-11-18,Mike Grondahl,"And then lastly, I don't know, since July 1st or the end of June, how much did you guys pull off the ATM? Maybe number of shares up until last Friday in total dollars raised?",
"Consensus Cloud Solutions, Inc.",CCSI,NASDAQ,2024-11-09,Jenny Shen,"This is Jenny Shen on for Dave. Congrats on the quarter. Just doubling down on the hospital environment right now. I know the general consensus has been that it's kind of a 2-sided coin with some hospitals doing better than others. Just broadly speaking, where are you guys seeing in terms of the labor and inflation trends for hospitals? And also whether you think the recent election or even CMS's recent physician fee schedule will have any impact on your hospital customers if they've said anything yet so far?",
IREN Limited,IREN,NASDAQ,2024-11-27,Brett Knoblauch,"Thank you. And then maybe just one more on the AI cloud business. You guys guided for year-end it being 10% of profits. Obviously, Bitcoin has gone up a lot since then. I guess what's the plan beyond this year for that -- for that business? And how do you view that or CapEx on GPUs relative to maybe some of the Bitcoin mining CapEx given what we've seen happening with Bitcoin over the last couple of weeks?",
StepStone Group Inc.,STEP,NASDAQ,2024-11-09,Michael Cyprys,Great. Thanks for that. And then just maybe shifting gears over to the wealth side postelection here with scope for maybe more supportive regulatory environment for financial services. Just curious how you're thinking about the scope for alts to penetrate and access the 401(k) channel which to this point has been out of reach. [Technical Difficulty] might those be overcome? What products might be best suited for the 401(k) channel? How is StepStone positioning for that? And how might your ticker technology be employed here as [Technical Difficulty] to access that channel?,
"Methode Electronics, Inc.",MEI,NYSE,2024-12-05,Gary Prestopino,"A couple of questions, initially a little nitpicky. Interest expense looked like it was up sequentially, almost $1.4 million. Was there any onetime expenses in that interest expense number? Or is that going to be the run rate at $6.2 million per quarter for the remainder of the year?",
Arcturus Therapeutics Holdings Inc.,ARCT,NASDAQ,2024-11-07,Unidentified Analyst,"Hi, thanks for taking our question. This is Quan [ph] for Yanan. So I have a question on your CF program. Can you share with us your barcode for success on FEV1? And also, Vertex Moderna will report their VX-522 phase 1 with data also in first half '25. So can you remind us the differentiation of 032 versus VX-522? Thank you.",
"Direct Digital Holdings, Inc.",DRCT,NASDAQ,2024-11-15,Dan Kurnos,"Thanks. Good afternoon. Welcome back. Mark, I guess, talk through confidence in the marketplace with you guys right now. Obviously, you went through quite a tumultuous period, the auditor, the Adalytics report. You clearly have defended yourself in court. A lot of advertisers and publishers are -- can be wary when there's noise, and you guys have gotten past most of it. So, just love to get a sense of how the conversations are going as you kind of rebuild volumes and/or trust in the marketplace.",
"H&R Block, Inc.",HRB,NYSE,2024-11-07,Alex Paris,"Great. And then a lot of good questions about the upcoming tax season. I know we can't say a lot about it right now. So I just wanted to ask one other question that I get so often, especially with investors new to the H&R Block story. And that's the matter of the Direct File program. And I know you've spoken to this, Jeff, on previous calls. But now that it's moving from pilot to a bigger program, I wonder if you have any updated thoughts to share.",
"LanzaTech Global, Inc.",LNZA,NASDAQ,2024-11-08,Pavel Molchanov,"Yeah. Thanks for taking the question. If we go to the website of Freedom Pines, there actually have not been any updates on the SAF plant since the grand opening in January. So I thought I would see if you guys can give us the latest on that facility.",
"Woodward, Inc.",WWD,NASDAQ,2024-11-25,Matt Akers,"Yeah. Hey, guys. Good afternoon. Thanks for the question. I wonder -- I may have missed it, but you said you paused production a little bit for Boeing during the quarter. Could you just, I guess, confirm if you've restarted and kind of what REITs you're at now? And sort of related to that, what are kind of the puts and takes in terms of the Aerospace guidance range? What production rates would get you to the higher, the low end there?",
MP Materials Corp.,MP,NYSE,2024-11-13,Ben Kallo,Could you just talk about the progress you've made about expanding other relationships outside of China for both the upstream and then now that you have the midstream up and ramping work that does as well?,
"Applied Materials, Inc.",AMAT,NASDAQ,2024-12-03,Timothy Arcuri,"And just in terms of the types of customers, is your service discussion with like the big customers, the largest spenders, is that discussion changing or is the growth in service predominantly it's the smaller customers that are waking up to the realization that they have to sign up to long-term agreement.",
"Crane NXT, Co.",CXT,NYSE,2024-11-09,Bobby Brooks,"Got it. That's really good color. And then maybe just piggybacking on those prepared remarks that Christina gave about the on-field professional sports jersey with the embedded RFID and software to track and trace game-worn items through OpSec. Could you maybe just talk about how that deal or how that project win came about? And then also, is this just -- is this something that's for all jerseys in that league throughout the entire season? Or is it maybe a test run through the first quarter of the season? Just a little bit -- I'm hoping for any more color that you could give on that.",
Stagwell Inc.,STGW,NASDAQ,2024-11-09,Ben Allanson,"Question from Mark Zgutowicz over at Benchmark. And this is looking at government services, something we've kind of talked about that over time and obviously, Consulum acquisition, which has a significant government portion as well. Can you maybe talk about how you're viewing the vision for that part of the business maybe over the next 3 to 5 years?",
"The Goldman Sachs Group, Inc.",GS,NYSE,2024-07-15,Matt O'Connor,"Okay helpful, it's unagreed. And then just separately, I hate to ask you about activity levels and stuff like that since the debate three, four weeks ago, but maybe I'll frame it. From your experience in presidential election periods like this, where there's maybe just more uncertainty than normal, like how do both institutional and corporate clients react? Do they kind of say, well, let's wait and see the other side? Is it just noise, because we've been going through it for some time here, but what are your thoughts on that? Thank you.",
NPK International Inc.,NPKI,NYSE,2024-11-08,Sameer Joshi,"Understood. And then just on the $18 million in receivables or notes, I should say, is there milestone related repayment or is there a certain cadence for this repayment or is this like a bullet repayment at some future point?",
Largo Inc.,LGO,NASDAQ,2024-11-14,Gordon Lawson,"Sorry, I was on mute. So the beat on cash cost this quarter was pretty significant and really stands out. What should we expect for – you have already talked about what to expect in terms of beating this year, but how much should we add to cost for the ilmenite production on a per pound basis?",
Bank of America Corporation,BAC,NYSE,2024-11-09,Q - Gerard Cassidy,"Okay. Holly, why don't we start with you? Bank of America is a leading consumer bank, of course, serves one in three U.S. households. And as a result, you guys have a great view into the American consumer. Can you share a few minutes about the health of the consumer? And any recent changes in their behavior, particularly in regards to the rate cuts? Obviously, we got another 25 basis points today. So with that, Holly, please?",
"Xcel Brands, Inc.",XELB,NASDAQ,2024-12-23,Michael Kupinski,"All right, thanks for the color. And my last question, Jim, you were indicating that Q4 is going to show improvement. Do you still anticipate that Q4 will show adjusted EBITDA positive in Q4 or where do you think that you might swing towards profit, profits going forward?",
"Hovnanian Enterprises, Inc.",HOV,NYSE,2024-12-05,Alan Ratner,"Great. And I appreciate all that added color and understood on all those points and I think it makes a lot of sense. Brad, I was going to -- my second part was going to be kind of on the topic you ended with, which is kind of the asset-light land-light strategy and how it gives you that flexibility to either attempt to renegotiate or maybe walk away from deals that no longer makes sense. I'm just curious if you've started that process in any markets or any communities at this point. Are there any deals where they're no longer making economic sense at the prior underwriting or is that still kind of a ways off into the future?",
Riskified Ltd.,RSKD,NYSE,2024-11-13,Cris Kennedy,Okay. And any updated thoughts on your 2026 EBITDA margin goals of 15% to 20%?,
J&J Snack Foods Corp.,JJSF,NASDAQ,2024-11-14,Jon Andersen,"Maybe just kind of try and close the loop a little bit on one of the questions from the last participant. You addressed kind of how you're thinking about gross margin in 2025 and the distribution ratio. I wanted to hit a different line, the marketing line. There were a couple of years when the marketing ratio came down. I think that's quite understandable given what was happening at that time. It's crept up a little bit in '23 and '24 and ended the year this year at about 7.4% of sales, but still below where it was several years ago, closer to 8.5 to 9. Dan, you mentioned some investments there, promo marketing behind the retail part of the business. How do you see that line evolving over the next year as you expand, particularly some of the new products, different dots, et cetera., into retail? Thanks.",
Jacobs Solutions Inc.,J,NYSE,2024-11-19,Michael Dudas,"So impressive, you standalone backlog growth, and heading into 2025. Maybe you can talk about the pipeline you see maybe amongst the three major end markets, growth in pipeline year-over-year, and how much of your 2025 net revenues and EBITDA do you currently have kind of in backlog or in sight, and what's required to achieve your midpoint year targets?",
"Equinix, Inc.",EQIX,NASDAQ,2024-12-12,Brendan Lynch,"And maybe just to come back to the pricing element of those higher capacity ports, as you're selling going from 10 to 100, is it a 10 multiple of the pricing or...",
Varex Imaging Corporation,VREX,NASDAQ,2024-11-19,Kyle Bauser,"Hi, everyone. Great quarter and thanks for taking my questions. Maybe I'll start in the oncology segment. It looks like it stabilized compared to last quarter and the five-quarter average. Can you talk about any dynamics that cause this or is there anything to call out here?",
Research Frontiers Incorporated,REFR,NASDAQ,2024-11-08,Joe Harary,"Very much so. And the other thing to keep in mind, Len, is that part of this was because of the war. And sometimes, good decisions come out of bad situations. When they went public, I'm sure they got more than their fair share of question about what happens if something happens to their Yafo Tel Aviv facility. So they started expanding even before this, because their planners emulsion production outside of Israel. But when that happened, they stepped up that process. So expanding emulsion and film production capability was something that very much was in the works. And I will say that in the automotive market, I mean, you see these very stellar growth rates that have been consistently high, this year they've been asked to exceed what their requirements were for that for certain customers and they've done it. They stepped up to the plate and they got it done. So neither them nor us are companies that like to turn down good business.",
"Ollie's Bargain Outlet Holdings, Inc.",OLLI,NASDAQ,2024-12-10,Melanie Nunez,I just wanted to talk on gross margin for a second. I know you talked about some of the mix impact. Just anything to think about for 4Q in terms of the merch margin and how your mix changes in this quarter.,
"Casey's General Stores, Inc.",CASY,NASDAQ,2024-12-10,Jacob Aiken-Phillips,"Hi. Thanks for the question. I just wanted to go a bit into prepared food and the competitive dynamic there. I'm just wondering what you're seeing in terms of competition with pizza, other QSRs and if you may feel the need to increase like the promotional or invest some of the gross margin there.",
"SkyWater Technology, Inc.",SKYT,NASDAQ,2024-11-10,Robert Aguanno,"Yes, thanks, guys. This is Robert on for Harsh. Just one here for me on gross margin. The gross margin trajectory had been growing steadily through the year, and it seems like you guys are guiding it down here for Q4. Can you give us some of the drivers, I guess, looking forward for 2025 since you mentioned in your presentation, increasing revenues and operating leverage kind of impacting here the number for 2025. So, I was wondering the puts and takes there.",
Iron Mountain Incorporated,IRM,NYSE,2024-12-11,Brendan Lynch,"And you mentioned some of the work orders that you have, but the size of some of these is absolutely staggering, hundreds of millions of documents, if I recall correctly.",
"LifeMD, Inc.",LFMD,NASDAQ,2024-11-09,Kyle Bauser,"Sure. Got it. Thank you. And then maybe on the WorkSimpli business, nice that it kind of returned to growth and you're forecasting kind of to hit peak later this year, which is great. I guess, what are your thoughts around divesting this business? Has there been interest? Is there a benefit in waiting? Do you think the valuation, it seems like if presumably that was divested and you're now a pure-play telehealth company that's just turned the corner with profitability, there could be upside that would more than outweigh any sort of difference in valuation. So just kind of curious what your thoughts there on that?",
"nCino, Inc.",NCNO,NASDAQ,2024-12-04,Michael Infante,"Okay. Understood. So as I think about fiscal 4Q and the exit rate and sort of extrapolating that into next year, FullCircl $4 million. Is it appropriate to annualize that into next year? And as we look at the implied organic subscription numbers in fiscal 4Q, again, is that a relatively reasonable run rate to assume for next year? Thanks.",
"Ooma, Inc.",OOMA,NYSE,2024-12-04,Josh Nichols,"Yes, thanks for taking my question. Good to see some of the large partnerships announced for this quarter as well as the improving cash flow and margins. I'm just kind of curious on the 2600Hz. It seems initially when you made that acquisition expectations seem like relatively low, but you become increasingly optimistic about some of the long-term potential for that. I'm just kind of curious if you could kind of comment a little bit about what you're seeing in the market dynamics, and any benefit potentially from the planned sunset of Microsoft's - Metaswitch on that front?",
"Magnite, Inc.",MGNI,NASDAQ,2024-11-07,Omar Dessouky,"Okay. That's really good to hear. And if I could just ask a quick follow-up, please feel free to skip this question if it's been asked before. Do you have any kind of update on your views given, I guess, the recent regulatory decisions and court decisions regarding Google and SSPs? And I apologize again if this question has been asked already.",
"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",CRESY,NASDAQ,2024-11-11,Santiago Donato,"Another question regarding Brazil that, there is reporting a major drought in northern Brazil. If we had some impact to date?",
"Alpha Teknova, Inc.",TKNO,NASDAQ,2024-11-09,Lucas Baranowski,"Yes, that’s excellent color. And then just one last question for me. You’ve launched a lot of new products in recent quarters, whether it was RUO+ or Express-Tek. Do you feel like you now have all of the products you need in the portfolio or are there others that are still in development?",
Colgate-Palmolive Company,CL,NYSE,2024-12-03,Dara Mohsenian,"Great. We touched earlier on higher marketing and what that's done for your organization over time and also how you've used technology to drive greater yield there. Can you just give us an update on AI, how you're using it, where it's having the most impact in terms of marketing or innovation or productivity? How you think about it, and where you're getting the greatest yield from AI or next-gen technology in general?",
"Kandi Technologies Group, Inc.",KNDI,NASDAQ,2024-11-18,Mike Pfeffer,"Thanks for taking my questions. A few weeks ago, you had the back to back press releases on the same day announcing the generational restructuring of the Kandi C-suite and Board of Directors. And the second one was titled ""Kandi Technologies' Board approves several major initiatives and new management's '25 to 2029 projected growth plan."" For a dozen years shareholders have been asking management to accept the norm of the vast majorities of the U.S. NASDAQ-listed companies and begin giving guidance as well as longer-term forecasts, both integral if a company has any hopes of attracting accredited stock analysts. The five-year detailed forecast, particularly with the disclosure of previously unknown five additional profit centers, was a pleasant surprise. Maybe you could translate that and I'll continue please.",
a.k.a. Brands Holding Corp.,AKA,NYSE,2024-11-09,Ashley Owens,"Okay, got you. That is super helpful. Just a follow up. As we think about additional marketplace and wholesale expansion, going well for Petal & Pup and you increased into some physical doors there, would you say you are open to continued expansion? And is this a strategy you are assessing for any of your other brands in the portfolio? Thanks.",
"Inspired Entertainment, Inc.",INSE,NASDAQ,2024-11-08,David Bain,"Great. Thank you. Hi, Lorne and Brooks, thanks for all the info. I'm trying to ask this the best way I can, but it just seems like a large collective 2025 impact, I mean, the William Hill Vantage cabinet uplift, Hybrid contribution, Interactive growth, now the structural margin improvement, consensus has you up 9%, $8 million or so. In the past, you've sometimes responded if you're comfortable with consensus. I'm just hoping you can maybe speak to that today because it just looks like there's a lot of levers that can impact next year, and I'm hoping to just get broad-based thoughts.",
"CAVA Group, Inc.",CAVA,NYSE,2024-11-12,Brian Harbour,"Yeah. Thank you. Hi, guys. Glad to see everything continuing to go really well. I wanted to pick up on sort of one comment you made just about the new labor scheduling model and kind of early lessons from that and how you thought that there were also some things that could kind of help drive AUVs in some of your lower buying stores. Could you elaborate on that and sort of how you think about that opportunity into next year and how that could sort of be an ongoing same-store sale forever?",
"Ross Stores, Inc.",ROST,NASDAQ,2024-11-21,Marni Shapiro,"Hey, guys. Thanks. Congratulations on hire, and Barbara, you will be missed. I have a quick question for you. The Dollar stores collectively have been under a lot of pressure and have made announcements that they're closing a lot of stores. And I'm curious if you could just give us a little insight into how many – if any of your dd’s stores or Ross stores, in fact, compete with them in similar areas. Is there an opportunity as they close stores if you've seen some of those stores closed already, and you've seen the customer for certain items shift over to you? If you could just frame that a little bit because it's obviously a big retail conversation.",
"Crane NXT, Co.",CXT,NYSE,2024-11-09,Isaac Sellhausen,"Okay. Understood. Thank you. And then separately, on the free cash flow conversion for the year and I guess, the adjustment given the currency shipments. I know it's still obviously early, but I mean, looking out until next year, I mean, does currency shipments have a similar impact on free cash flow conversion or any other major factors that we should consider there?",
